trade_id,symbol,side,entry_time,exit_time,entry_fr,entry_collect_fr,exit_fr,hold_settlements,gross_pct,cost_rt_pct,net_pct,gross_dollar,cost_dollar,net_dollar,cost_tier,gap_closed
KNCUSDT_20220120080000,KNCUSDT,long_spot_short_futures,2022-01-20 08:00:00+00:00,2022-01-21 08:00:00.015000+00:00,-0.106923,-0.080125,-0.011773,3,0.127397,0.2,-0.072603,0.38219100000000006,0.6,-0.217809,high,False
DYDXUSDT_20220120160000,DYDXUSDT,long_spot_short_futures,2022-01-20 16:00:00+00:00,2022-01-21 08:00:00.015000+00:00,-0.088336,-0.083267,-0.007909000000000001,2,0.091176,0.2,-0.10882400000000002,0.273528,0.6,-0.32647200000000004,high,False
RSRUSDT_20220121160000,RSRUSDT,long_spot_short_futures,2022-01-21 16:00:00+00:00,2022-01-22 00:00:00.017000+00:00,-0.081038,-0.0065580000000000005,-0.0065580000000000005,1,0.0065580000000000005,0.2,-0.193442,0.019674,0.6,-0.580326,high,False
CRVUSDT_20220121080000,CRVUSDT,long_spot_short_futures,2022-01-21 08:00:00.015000+00:00,2022-01-22 00:00:00.017000+00:00,-0.052359,-0.048739,-0.00865,2,0.057388999999999996,0.2,-0.14261100000000002,0.172167,0.6,-0.4278330000000001,high,False
DYDXUSDT_20220121160000,DYDXUSDT,long_spot_short_futures,2022-01-21 16:00:00+00:00,2022-01-22 08:00:00.003000+00:00,-0.063165,-0.042865,0.004647,2,0.047512,0.2,-0.152488,0.142536,0.6,-0.45746400000000004,high,False
BANDUSDT_20220123000000,BANDUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 08:00:00.010000+00:00,-0.05638900000000001,-0.005514,-0.005514,1,0.005514,0.2,-0.19448600000000002,0.016541999999999998,0.6,-0.5834580000000001,high,False
CHZUSDT_20220123000000,CHZUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 08:00:00.010000+00:00,-0.054060000000000004,-0.013396,-0.013396,1,0.013396,0.2,-0.18660400000000002,0.040188,0.6,-0.5598120000000001,high,False
DYDXUSDT_20220123000000,DYDXUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 08:00:00.010000+00:00,-0.051176,-0.011098,-0.011098,1,0.011098,0.2,-0.18890200000000001,0.033294,0.6,-0.566706,high,False
RSRUSDT_20220123000000,RSRUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 16:00:00.009000+00:00,-0.06025200000000001,-0.029212,-0.016589,2,0.045800999999999994,0.2,-0.15419900000000003,0.137403,0.6,-0.4625970000000001,high,False
COTIUSDT_20220123000000,COTIUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-24 08:00:00+00:00,-0.062291,-0.020359,0.01,4,0.111215,0.2,-0.08878500000000002,0.33364499999999997,0.6,-0.26635500000000006,high,False
