trade_id,symbol,side,entry_time,exit_time,entry_fr,entry_collect_fr,exit_fr,hold_settlements,gross_pct,cost_rt_pct,net_pct,gross_dollar,cost_dollar,net_dollar,cost_tier,gap_closed
ARPAUSDT_20220111000000,ARPAUSDT,long_spot_short_futures,2022-01-11 00:00:00.013000+00:00,2022-01-11 08:00:00.004000+00:00,-0.070967,-0.004732,-0.004732,1,0.004732,0.08,-0.075268,0.014196,0.24000000000000002,-0.225804,low,False
KNCUSDT_20220111080000,KNCUSDT,long_spot_short_futures,2022-01-11 08:00:00.004000+00:00,2022-01-11 16:00:00+00:00,-0.057783,0.01,0.01,1,0.01,0.08,-0.07,0.030000000000000002,0.24000000000000002,-0.21000000000000002,low,False
ONEUSDT_20220111080000,ONEUSDT,long_spot_short_futures,2022-01-11 08:00:00.004000+00:00,2022-01-12 16:00:00+00:00,-0.156937,-0.09175799999999999,-0.01926,4,0.26773399999999997,0.08,0.18773399999999996,0.803202,0.24000000000000002,0.5632019999999999,low,False
IOTAUSDT_20220111080000,IOTAUSDT,long_spot_short_futures,2022-01-11 08:00:00.004000+00:00,2022-01-13 00:00:00.007000+00:00,-0.06443399999999999,-0.026416,-0.01713,5,0.142628,0.08,0.062628,0.427884,0.24000000000000002,0.187884,low,False
RSRUSDT_20220112160000,RSRUSDT,long_spot_short_futures,2022-01-12 16:00:00+00:00,2022-01-13 08:00:00+00:00,-0.075762,-0.024416999999999998,-0.003895,2,0.028311999999999997,0.08,-0.051688000000000005,0.084936,0.24000000000000002,-0.155064,low,False
1INCHUSDT_20220113160000,1INCHUSDT,long_spot_short_futures,2022-01-13 16:00:00.014000+00:00,2022-01-14 00:00:00+00:00,-0.127143,-0.006556,-0.006556,1,0.006556,0.08,-0.073444,0.019668,0.24000000000000002,-0.22033199999999997,low,False
ONEUSDT_20220113080000,ONEUSDT,long_spot_short_futures,2022-01-13 08:00:00+00:00,2022-01-14 08:00:00.006000+00:00,-0.063112,-0.085181,-0.013533,3,0.15708,0.08,0.07708,0.47124,0.24000000000000002,0.23124,low,False
CTSIUSDT_20220113000000,CTSIUSDT,long_spot_short_futures,2022-01-13 00:00:00.007000+00:00,2022-01-14 08:00:00.006000+00:00,-0.054208,-0.051290999999999996,0.01,4,0.253846,0.08,0.173846,0.761538,0.24000000000000002,0.5215380000000001,low,False
ONEUSDT_20220115080000,ONEUSDT,long_spot_short_futures,2022-01-15 08:00:00.002000+00:00,2022-01-15 16:00:00+00:00,-0.052851999999999996,-0.006520999999999999,-0.006520999999999999,1,0.006520999999999999,0.08,-0.073479,0.019562999999999997,0.24000000000000002,-0.22043700000000002,low,False
ROSEUSDT_20220111160000,ROSEUSDT,long_spot_short_futures,2022-01-11 16:00:00+00:00,2022-01-17 00:00:00.005000+00:00,-0.673078,-0.75,0.01,16,4.166427,0.08,4.086427,12.499280999999998,0.24000000000000002,12.259280999999998,low,False
COTIUSDT_20220118000000,COTIUSDT,long_spot_short_futures,2022-01-18 00:00:00.020000+00:00,2022-01-19 00:00:00.001000+00:00,-0.142925,-0.153513,-0.008292,3,0.34136800000000006,0.08,0.26136800000000004,1.0241040000000001,0.24000000000000002,0.7841040000000001,low,False
RSRUSDT_20220120000000,RSRUSDT,long_spot_short_futures,2022-01-20 00:00:00.015000+00:00,2022-01-20 16:00:00+00:00,-0.052304,-0.045996999999999996,-0.005032,2,0.051029,0.08,-0.028971000000000004,0.15308699999999997,0.24000000000000002,-0.08691300000000002,low,False
BNBUSDT_20220112080000,BNBUSDT,long_spot_short_futures,2022-01-12 08:00:00.015000+00:00,2022-01-21 00:00:00.007000+00:00,-0.124953,-0.05687,0.0,26,1.9385630000000005,0.08,1.8585630000000004,5.815689000000002,0.24000000000000002,5.5756890000000014,low,False
KNCUSDT_20220120080000,KNCUSDT,long_spot_short_futures,2022-01-20 08:00:00+00:00,2022-01-21 08:00:00.015000+00:00,-0.106923,-0.080125,-0.011773,3,0.127397,0.08,0.04739700000000001,0.38219100000000006,0.24000000000000002,0.14219100000000004,low,False
DYDXUSDT_20220120160000,DYDXUSDT,long_spot_short_futures,2022-01-20 16:00:00+00:00,2022-01-21 08:00:00.015000+00:00,-0.088336,-0.083267,-0.007909000000000001,2,0.091176,0.08,0.011175999999999991,0.273528,0.24000000000000002,0.033527999999999974,low,False
RSRUSDT_20220121160000,RSRUSDT,long_spot_short_futures,2022-01-21 16:00:00+00:00,2022-01-22 00:00:00.017000+00:00,-0.081038,-0.0065580000000000005,-0.0065580000000000005,1,0.0065580000000000005,0.08,-0.07344200000000001,0.019674,0.24000000000000002,-0.22032600000000002,low,False
CRVUSDT_20220121080000,CRVUSDT,long_spot_short_futures,2022-01-21 08:00:00.015000+00:00,2022-01-22 00:00:00.017000+00:00,-0.052359,-0.048739,-0.00865,2,0.057388999999999996,0.08,-0.022611000000000006,0.172167,0.24000000000000002,-0.06783300000000002,low,False
