permutation_net
-1095.648087
-1115.422449
-1081.823814
-1091.548992
-1094.676882
-1109.551893
-1095.025284
-1084.56999
-1110.912834
-1114.935078
-1092.916791
-1082.503137
-1087.078044
-1097.727303
-1106.273655
-1095.271536
-1112.206923
-1088.384259
-1115.02506
-1096.358763
-1102.190754
-1099.295748
-1101.879543
-1098.827715
-1110.968205
-1106.946909
-1086.678771
-1121.11437
-1118.383215
-1083.426726
-1107.709665
-1099.903017
-1092.279699
-1121.802537
-1111.098732
-1106.366094
-1102.183779
-1118.684286
-1110.477396
-1084.068492
-1124.039157
-1092.156423
-1085.532018
-1096.181859
-1094.692812
-1098.511524
-1097.270556
-1104.217974
-1098.41547
-1097.898399
-1112.056218
-1099.476891
-1094.308731
-1125.391128
-1101.436794
-1085.44752
-1105.056492
-1098.893781
-1092.930042
-1076.727105
-1105.826355
-1102.873719
-1120.022118
-1076.650224
-1083.190947
-1109.629371
-1102.893774
-1103.571726
-1110.590103
-1103.291997
-1106.901675
-1083.392352
-1099.184211
-1089.199146
-1102.273515
-1092.90195
-1117.127976
-1084.936521
-1113.910926
-1105.7491440000001
-1077.700275
-1107.051432
-1087.857321
-1069.674564
-1099.336548
-1081.267137
-1107.23127
-1106.434632
-1130.757066
-1100.185596
-1115.866455
-1101.702726
-1113.379458
-1100.789301
-1103.401983
-1101.97731
-1076.925582
-1103.968302
-1094.974776
-1078.906623
